,diversions
1995-10-01,30213.0
1995-11-01,8796.0
1995-12-01,4103.0
1996-01-01,1921.0
1996-02-01,15009.0
1996-03-01,732.0
1996-04-01,3421.0
1996-05-01,12519.0
1996-06-01,10561.0
1996-07-01,10992.0
1996-08-01,9276.0
1996-09-01,28684.0
1996-10-01,24916.0
1996-11-01,5683.0
1996-12-01,1232.0
1997-01-01,0.0
1997-02-01,184.0
1997-03-01,2500.0
1997-04-01,4671.0
1997-05-01,20818.0
1997-06-01,13436.0
1997-07-01,13370.0
1997-08-01,11298.0
1997-09-01,39693.0
1997-10-01,15109.0
1997-11-01,5729.0
1997-12-01,3006.0
1998-01-01,5043.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,1071.0
1998-07-01,5744.0
1998-08-01,7133.0
1998-09-01,42023.0
1998-10-01,12226.0
1998-11-01,4526.0
1998-12-01,4029.0
1999-01-01,2704.0
1999-02-01,1609.0
1999-03-01,97.0
1999-04-01,2034.0
1999-05-01,18756.0
1999-06-01,4392.0
1999-07-01,885.0
1999-08-01,7526.0
1999-09-01,31553.0
1999-10-01,16546.0
1999-11-01,3869.0
1999-12-01,8567.0
2000-01-01,4967.0
2000-02-01,1346.0
2000-03-01,507.0
2000-04-01,0.0
2000-05-01,7207.0
2000-06-01,4647.0
2000-07-01,6435.0
2000-08-01,10176.0
2000-09-01,38248.0
2000-10-01,10335.0
2000-11-01,2583.0
2000-12-01,873.0
2001-01-01,69.0
2001-02-01,540.0
2001-03-01,1553.0
2001-04-01,1209.0
2001-05-01,8711.0
2001-06-01,7109.0
2001-07-01,14520.0
2001-08-01,12856.0
2001-09-01,36114.0
2001-10-01,9316.0
2001-11-01,2568.0
2001-12-01,7401.0
2002-01-01,5222.0
2002-02-01,7948.0
2002-03-01,1090.0
2002-04-01,4682.0
2002-05-01,2700.0
2002-06-01,6721.0
2002-07-01,8900.0
2002-08-01,8021.0
2002-09-01,24645.0
2002-10-01,28280.0
2002-11-01,2432.0
2002-12-01,3595.0
2003-01-01,7246.0
2003-02-01,6444.0
2003-03-01,4338.0
2003-04-01,1970.0
2003-05-01,11138.0
2003-06-01,7101.0
2003-07-01,3316.0
2003-08-01,14392.0
2003-09-01,33185.0
2003-10-01,20058.0
2003-11-01,11264.0
2003-12-01,9145.0
2004-01-01,7918.0
2004-02-01,5008.0
2004-03-01,2560.0
2004-04-01,6985.0
2004-05-01,13845.0
2004-06-01,7858.0
2004-07-01,3591.0
2004-08-01,15017.0
2004-09-01,23744.0
2004-10-01,29063.0
2004-11-01,5341.0
2004-12-01,11158.0
2005-01-01,2134.0
2005-02-01,2700.0
2005-03-01,5831.0
2005-04-01,5313.0
2005-05-01,10311.0
2005-06-01,10456.0
2005-07-01,5762.0
2005-08-01,11752.0
2005-09-01,31776.0
2005-10-01,31055.0
2005-11-01,17000.0
2005-12-01,14839.0
2006-01-01,4333.0
2006-02-01,5391.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,6667.0
2006-06-01,8038.0
2006-07-01,8072.0
2006-08-01,17729.0
2006-09-01,37697.0
2006-10-01,20404.0
2006-11-01,10440.0
2006-12-01,6418.0
2007-01-01,7488.0
2007-02-01,4240.0
2007-03-01,7047.0
2007-04-01,4887.0
2007-05-01,10554.0
2007-06-01,5597.0
2007-07-01,2538.0
2007-08-01,8759.0
2007-09-01,40622.0
2007-10-01,21738.0
2007-11-01,10730.0
2007-12-01,2419.0
2008-01-01,1833.0
2008-02-01,7159.0
2008-03-01,4314.0
2008-04-01,3685.0
2008-05-01,15588.0
2008-06-01,5138.0
2008-07-01,1881.0
2008-08-01,5090.0
2008-09-01,42084.0
2008-10-01,28782.0
2008-11-01,10147.0
2008-12-01,5637.0
2009-01-01,3925.0
2009-02-01,2204.0
2009-03-01,2258.0
2009-04-01,4507.0
2009-05-01,10275.0
2009-06-01,4975.0
2009-07-01,2242.0
2009-08-01,6341.0
2009-09-01,37530.0
2009-10-01,14081.0
2009-11-01,8646.0
2009-12-01,5408.0
2010-01-01,4616.0
2010-02-01,2223.0
2010-03-01,3359.0
2010-04-01,1797.0
2010-05-01,10790.0
2010-06-01,8308.0
2010-07-01,2166.0
2010-08-01,13828.0
2010-09-01,39207.0
2010-10-01,17287.0
2010-11-01,6786.0
2010-12-01,1071.0
2011-01-01,0.0
2011-02-01,2434.0
2011-03-01,7046.0
2011-04-01,2939.0
2011-05-01,18063.0
2011-06-01,9914.0
2011-07-01,5626.0
2011-08-01,11874.0
2011-09-01,34806.0
2011-10-01,14076.0
2011-11-01,16129.0
2011-12-01,14067.0
2012-01-01,13475.0
2012-02-01,12713.0
2012-03-01,3385.0
2012-04-01,1614.0
2012-05-01,15405.0
2012-06-01,5792.0
2012-07-01,2795.0
2012-08-01,10297.0
2012-09-01,30227.0
2012-10-01,17781.0
2012-11-01,3287.0
2012-12-01,420.0
2013-01-01,905.0
2013-02-01,7851.0
2013-03-01,3764.0
2013-04-01,5268.0
2013-05-01,17974.0
2013-06-01,2789.0
2013-07-01,779.0
2013-08-01,14992.0
2013-09-01,28385.0
2013-10-01,19769.0
2013-11-01,3635.0
2013-12-01,627.0
2014-01-01,990.0
2014-02-01,841.0
2014-03-01,0.0
2014-04-01,434.0
2014-05-01,0.1
2014-06-01,0.2
2014-07-01,0.3
2014-08-01,2325.0
2014-09-01,5039.0
2014-10-01,19746.0
2014-11-01,2019.0
2014-12-01,1021.0
2015-01-01,122.0
2015-02-01,972.0
2015-03-01,1003.0
2015-04-01,727.0
2015-05-01,496.0
2015-06-01,1011.0
2015-07-01,909.0
2015-08-01,2884.0
2015-09-01,3653.0
2015-10-01,19426.0
2015-11-01,11142.0
2015-12-01,6458.0
2016-01-01,317.0
2016-02-01,1981.0
2016-03-01,1010.0
2016-04-01,1507.0
2016-05-01,8722.0
2016-06-01,7332.0
2016-07-01,3690.0
2016-08-01,8467.0
2016-09-01,31023.0
2016-10-01,29796.0
2016-11-01,6431.0
2016-12-01,5596.0
2017-01-01,0.0
2017-02-01,0.1
2017-03-01,0.2
2017-04-01,0.3
2017-05-01,15340.0
2017-06-01,0.4
2017-07-01,348.0
2017-08-01,14473.0
2017-09-01,39873.0
2017-10-01,37902.0
2017-11-01,15088.0
2017-12-01,11700.0
2018-01-01,8655.0
2018-02-01,10634.0
2018-03-01,2035.0
2018-04-01,3629.0
2018-05-01,13704.0
2018-06-01,5519.0
2018-07-01,3675.0
2018-08-01,11621.0
2018-09-01,43915.0
2018-10-01,30174.0
2018-11-01,16706.0
2018-12-01,1577.0
2019-01-01,1399.0
2019-02-01,800.0
2019-03-01,4287.0
2019-04-01,4957.0
2019-05-01,14683.0
2019-06-01,5100.0
2019-07-01,2928.0
2019-08-01,9946.0
2019-09-01,41481.0
2019-10-01,37741.0
2019-11-01,19914.0
2019-12-01,2423.0
2020-01-01,4087.0
2020-02-01,7614.0
2020-03-01,1883.0
2020-04-01,5582.0
2020-05-01,5140.0
2020-06-01,3575.0
2020-07-01,2420.0
2020-08-01,11403.0
2020-09-01,37820.0
2020-10-01,31237.0
2020-11-01,11647.0
2020-12-01,6328.0
2021-01-01,947.0
2021-02-01,3362.0
2021-03-01,2431.0
2021-04-01,5067.0
2021-05-01,2949.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,1214.0
2021-09-01,10137.0
2021-10-01,0.0
2021-11-01,0.1
2021-12-01,0.2
