,diversions
1995-10-01,43925.0
1995-11-01,9.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,59067.0
1996-05-01,239254.0
1996-06-01,270873.0
1996-07-01,307694.0
1996-08-01,251733.0
1996-09-01,65650.0
1996-10-01,55666.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,169770.0
1997-05-01,298702.0
1997-06-01,290557.0
1997-07-01,314294.0
1997-08-01,231768.0
1997-09-01,44256.0
1997-10-01,32259.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,26416.0
1998-05-01,209069.0
1998-06-01,202792.0
1998-07-01,317547.0
1998-08-01,283727.0
1998-09-01,108185.0
1998-10-01,58033.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,96904.0
1999-05-01,353469.0
1999-06-01,313206.0
1999-07-01,369859.0
1999-08-01,299711.0
1999-09-01,109391.0
1999-10-01,92570.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,111580.0
2000-05-01,299319.0
2000-06-01,344747.0
2000-07-01,351972.0
2000-08-01,262560.0
2000-09-01,55193.0
2000-10-01,88068.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,130407.0
2001-05-01,346804.0
2001-06-01,329145.0
2001-07-01,325884.0
2001-08-01,270246.0
2001-09-01,73969.0
2001-10-01,120137.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,180936.0
2002-05-01,305775.0
2002-06-01,370065.0
2002-07-01,360903.0
2002-08-01,258984.0
2002-09-01,77281.0
2002-10-01,114726.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,66598.0
2003-05-01,268519.0
2003-06-01,310303.0
2003-07-01,370814.0
2003-08-01,284670.0
2003-09-01,90045.0
2003-10-01,111144.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,174436.0
2004-05-01,354482.0
2004-06-01,383509.0
2004-07-01,382873.0
2004-08-01,277319.0
2004-09-01,72374.0
2004-10-01,111930.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,76745.0
2005-05-01,267526.0
2005-06-01,304508.0
2005-07-01,371153.0
2005-08-01,295906.0
2005-09-01,95336.0
2005-10-01,73049.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,3422.0
2006-05-01,277597.0
2006-06-01,328842.0
2006-07-01,379167.0
2006-08-01,312811.0
2006-09-01,113196.0
2006-10-01,74568.0
2006-11-01,0.0
2006-12-01,1489.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,168057.0
2007-05-01,350801.0
2007-06-01,356092.0
2007-07-01,348578.0
2007-08-01,264461.0
2007-09-01,76203.0
2007-10-01,80391.0
2007-11-01,0.0
2007-12-01,1644.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,177296.0
2008-05-01,352522.0
2008-06-01,348769.0
2008-07-01,326298.0
2008-08-01,264287.0
2008-09-01,69199.0
2008-10-01,122004.0
2008-11-01,0.0
2008-12-01,1660.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,153801.0
2009-05-01,327220.0
2009-06-01,331744.0
2009-07-01,358756.0
2009-08-01,246420.0
2009-09-01,55856.0
2009-10-01,91829.0
2009-11-01,0.0
2009-12-01,1565.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,35832.0
2010-05-01,299088.0
2010-06-01,322898.0
2010-07-01,381841.0
2010-08-01,304678.0
2010-09-01,87785.0
2010-10-01,57515.0
2010-11-01,0.0
2010-12-01,1489.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,77915.0
2011-05-01,302286.0
2011-06-01,280227.0
2011-07-01,363093.0
2011-08-01,306701.0
2011-09-01,85976.0
2011-10-01,41902.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,26098.0
2012-05-01,346011.0
