,diversions
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,1020.0
2007-02-01,806.0
2007-03-01,0.0
2007-04-01,305.0
2007-05-01,500.0
2007-06-01,201.0
2007-07-01,1.0
2007-08-01,2051.0
2007-09-01,3471.0
2007-10-01,4104.0
2007-11-01,2974.0
2007-12-01,2097.0
2008-01-01,489.0
2008-02-01,2266.0
2008-03-01,0.0
2008-04-01,28.0
2008-05-01,276.0
2008-06-01,1.0
2008-07-01,31.0
2008-08-01,1563.0
2008-09-01,3950.0
2008-10-01,3640.0
2008-11-01,4857.0
2008-12-01,4154.0
2009-01-01,1125.0
2009-02-01,885.0
2009-03-01,5.0
2009-04-01,88.0
2009-05-01,315.0
2009-06-01,0.0
2009-07-01,1.0
2009-08-01,1003.0
2009-09-01,3600.0
2009-10-01,3995.0
2009-11-01,5272.0
2009-12-01,2875.0
2010-01-01,1204.0
2010-02-01,1807.0
2010-03-01,68.0
2010-04-01,70.0
2010-05-01,290.0
2010-06-01,1.0
2010-07-01,1.0
2010-08-01,1320.0
2010-09-01,4989.0
2010-10-01,4761.0
2010-11-01,4663.0
2010-12-01,2597.0
2011-01-01,2597.0
2011-02-01,957.0
2011-03-01,534.0
2011-04-01,734.0
2011-05-01,1485.0
2011-06-01,637.0
2011-07-01,460.0
2011-08-01,4336.0
2011-09-01,4887.0
2011-10-01,4948.0
2011-11-01,4046.0
2011-12-01,2288.0
2012-01-01,1585.0
2012-02-01,1609.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,400.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,5128.0
2012-11-01,3337.0
2012-12-01,3112.0
2013-01-01,2685.0
2013-02-01,622.0
2013-03-01,0.0
2013-04-01,171.0
2013-05-01,850.0
2013-06-01,0.0
2013-07-01,426.0
2013-08-01,2953.0
2013-09-01,4417.0
2013-10-01,3638.0
2013-11-01,2774.0
2013-12-01,1126.0
2014-01-01,1620.0
2014-02-01,285.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,1201.0
2014-09-01,2719.0
2014-10-01,2957.0
2014-11-01,2445.0
2014-12-01,1572.0
2015-01-01,1341.0
2015-02-01,888.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,2640.0
2015-11-01,3532.0
2015-12-01,2054.0
2016-01-01,2493.0
2016-02-01,1850.0
2016-03-01,0.0
2016-04-01,385.0
2016-05-01,490.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,1570.0
2016-09-01,4232.0
2016-10-01,3813.0
2016-11-01,4820.0
2016-12-01,2440.0
2017-01-01,2395.0
2017-02-01,1443.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,2559.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,2766.0
2017-09-01,5754.0
2017-10-01,6042.0
2017-11-01,4829.0
2017-12-01,3233.0
2018-01-01,0.0
2018-02-01,2823.0
2018-03-01,0.0
2018-04-01,62.0
2018-05-01,193.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,1660.0
2018-09-01,5419.0
2018-10-01,5723.0
2018-11-01,4404.0
2018-12-01,2956.0
2019-01-01,1848.0
2019-02-01,472.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,1031.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,1732.0
2019-09-01,4931.0
2019-10-01,5062.0
2019-11-01,4987.0
2019-12-01,3045.0
2020-01-01,2728.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,1757.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,902.0
2020-09-01,4376.0
2020-10-01,4953.0
2020-11-01,4419.0
2020-12-01,2312.0
2021-01-01,0.0
2021-02-01,394.0
2021-03-01,0.0
2021-04-01,744.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,2719.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
