,diversions
1995-10-01,15428.0
1995-11-01,3597.0
1995-12-01,539.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,1191.0
1996-04-01,12781.0
1996-05-01,34104.0
1996-06-01,51071.0
1996-07-01,52685.0
1996-08-01,37579.0
1996-09-01,13841.0
1996-10-01,7874.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,10504.0
1997-04-01,28106.0
1997-05-01,43788.0
1997-06-01,50388.0
1997-07-01,51726.0
1997-08-01,30677.0
1997-09-01,13010.0
1997-10-01,6182.0
1997-11-01,1081.0
1997-12-01,349.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,341.0
1998-04-01,1624.0
1998-05-01,12500.0
1998-06-01,25109.0
1998-07-01,53194.0
1998-08-01,39837.0
1998-09-01,16501.0
1998-10-01,5925.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,1420.0
1999-04-01,11630.0
1999-05-01,49970.0
1999-06-01,45603.0
1999-07-01,56947.0
1999-08-01,33413.0
1999-09-01,15813.0
1999-10-01,8636.0
1999-11-01,1023.0
1999-12-01,1938.0
2000-01-01,2975.0
2000-02-01,100.0
2000-03-01,1639.0
2000-04-01,16206.0
2000-05-01,33822.0
2000-06-01,56032.0
2000-07-01,53948.0
2000-08-01,37435.0
2000-09-01,14800.0
2000-10-01,6258.0
2000-11-01,542.0
2000-12-01,1153.0
2001-01-01,799.0
2001-02-01,221.0
2001-03-01,2494.0
2001-04-01,15747.0
2001-05-01,45620.0
2001-06-01,47755.0
2001-07-01,45968.0
2001-08-01,30349.0
2001-09-01,11234.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,131.0
2002-02-01,792.0
2002-03-01,12172.0
2002-04-01,29691.0
2002-05-01,38929.0
2002-06-01,56636.0
2002-07-01,52436.0
2002-08-01,36155.0
2002-09-01,18804.0
2002-10-01,9661.0
2002-11-01,1238.0
2002-12-01,180.0
2003-01-01,98.0
2003-02-01,392.0
2003-03-01,2856.0
2003-04-01,10160.0
2003-05-01,27905.0
2003-06-01,56486.0
2003-07-01,60460.0
2003-08-01,39330.0
2003-09-01,18859.0
2003-10-01,10662.0
2003-11-01,1435.0
2003-12-01,0.0
2004-01-01,128.0
2004-02-01,312.0
2004-03-01,5233.0
2004-04-01,29995.0
2004-05-01,52703.0
2004-06-01,57962.0
2004-07-01,55572.0
2004-08-01,39046.0
2004-09-01,17760.0
2004-10-01,6800.0
2004-11-01,553.0
2004-12-01,472.0
2005-01-01,41.0
2005-02-01,297.0
2005-03-01,2326.0
2005-04-01,10230.0
2005-05-01,28443.0
2005-06-01,49543.0
2005-07-01,63014.0
2005-08-01,43374.0
2005-09-01,19712.0
2005-10-01,9745.0
2005-11-01,2592.0
2005-12-01,600.0
2006-01-01,158.0
2006-02-01,4177.0
2006-03-01,695.0
2006-04-01,1908.0
2006-05-01,34317.0
2006-06-01,53387.0
2006-07-01,61782.0
2006-08-01,43365.0
2006-09-01,20677.0
2006-10-01,10987.0
2006-11-01,2441.0
2006-12-01,682.0
2007-01-01,3821.0
2007-02-01,4200.0
2007-03-01,14773.0
2007-04-01,26256.0
2007-05-01,48889.0
2007-06-01,55325.0
2007-07-01,56637.0
2007-08-01,38357.0
2007-09-01,18499.0
2007-10-01,6605.0
2007-11-01,5994.0
2007-12-01,2086.0
2008-01-01,184.0
2008-02-01,211.0
2008-03-01,10132.0
2008-04-01,24138.0
2008-05-01,40588.0
2008-06-01,39630.0
2008-07-01,37751.0
2008-08-01,30704.0
2008-09-01,12772.0
2008-10-01,10526.0
2008-11-01,1336.0
2008-12-01,1755.0
2009-01-01,3480.0
2009-02-01,3893.0
2009-03-01,4083.0
2009-04-01,13206.0
2009-05-01,30413.0
2009-06-01,36886.0
2009-07-01,43787.0
2009-08-01,30853.0
2009-09-01,15070.0
2009-10-01,6008.0
2009-11-01,2968.0
2009-12-01,1173.0
2010-01-01,203.0
2010-02-01,233.0
2010-03-01,5385.0
2010-04-01,5435.0
2010-05-01,31166.0
2010-06-01,44179.0
2010-07-01,54103.0
2010-08-01,39101.0
2010-09-01,15516.0
2010-10-01,7079.0
2010-11-01,1477.0
2010-12-01,344.0
2011-01-01,102.0
2011-02-01,2640.0
2011-03-01,1449.0
2011-04-01,12120.0
2011-05-01,31421.0
2011-06-01,33903.0
2011-07-01,51848.0
2011-08-01,40678.0
2011-09-01,19041.0
2011-10-01,4516.0
2011-11-01,3355.0
2011-12-01,3344.0
2012-01-01,5024.0
2012-02-01,8309.0
2012-03-01,3266.0
2012-04-01,4376.0
2012-05-01,47251.0
2012-06-01,48990.0
2012-07-01,55730.0
2012-08-01,41448.0
2012-09-01,20474.0
2012-10-01,11582.0
2012-11-01,2633.0
2012-12-01,191.0
2013-01-01,159.0
2013-02-01,5806.0
2013-03-01,11060.0
2013-04-01,29471.0
2013-05-01,50385.0
2013-06-01,55918.0
2013-07-01,51382.0
2013-08-01,30186.0
2013-09-01,15874.0
2013-10-01,14113.0
2013-11-01,7725.0
2013-12-01,5122.0
2014-01-01,6232.0
2014-02-01,6449.0
2014-03-01,4792.0
2014-04-01,5933.0
2014-05-01,14684.0
2014-06-01,18060.0
2014-07-01,21744.0
2014-08-01,15508.0
2014-09-01,11695.0
2014-10-01,10341.0
2014-11-01,3461.0
2014-12-01,18.0
2015-01-01,120.0
2015-02-01,1263.0
2015-03-01,6060.0
2015-04-01,11112.0
2015-05-01,18350.0
2015-06-01,16711.0
2015-07-01,17005.0
2015-08-01,11983.0
2015-09-01,9566.0
2015-10-01,8346.0
2015-11-01,2024.0
2015-12-01,13.0
2016-01-01,0.0
2016-02-01,1557.0
2016-03-01,2965.0
2016-04-01,16800.0
2016-05-01,30558.0
2016-06-01,41672.0
2016-07-01,50735.0
2016-08-01,28542.0
2016-09-01,18989.0
2016-10-01,8478.0
2016-11-01,1106.0
2016-12-01,125.0
2017-01-01,1.0
2017-02-01,281.0
2017-03-01,6291.0
2017-04-01,6146.0
2017-05-01,34267.0
2017-06-01,39309.0
2017-07-01,42145.0
2017-08-01,32224.0
2017-09-01,19588.0
2017-10-01,15376.0
2017-11-01,2550.0
2017-12-01,6845.0
2018-01-01,126.0
2018-02-01,10430.0
2018-03-01,4855.0
2018-04-01,11103.0
2018-05-01,37811.0
2018-06-01,45478.0
2018-07-01,46946.0
2018-08-01,30010.0
2018-09-01,18536.0
2018-10-01,11439.0
2018-11-01,6984.0
2018-12-01,76.0
2019-01-01,14.0
2019-02-01,171.0
2019-03-01,1450.0
2019-04-01,9464.0
2019-05-01,23005.0
2019-06-01,40861.0
2019-07-01,39232.0
2019-08-01,31611.0
2019-09-01,17623.0
2019-10-01,14263.0
2019-11-01,7576.0
2019-12-01,1.0
2020-01-01,1.0
2020-02-01,5872.0
2020-03-01,9400.0
2020-04-01,17407.0
2020-05-01,26877.0
2020-06-01,35917.0
2020-07-01,39141.0
2020-08-01,25386.0
2020-09-01,15806.0
2020-10-01,17361.0
2020-11-01,8630.0
2020-12-01,2446.0
2021-01-01,3.0
2021-02-01,9410.0
2021-03-01,5740.0
2021-04-01,13610.0
2021-05-01,18615.0
2021-06-01,20316.0
2021-07-01,23180.0
2021-08-01,13798.0
2021-09-01,12305.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
